Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
4.0,96144.5227,8.79598523,494096900.0,150000.0,1.486464e+34,8.035138,25.27469,7.961731,0.0,0.0,9.050311e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.15
5.0,96052.9414,7.80529807,1206024000.0,240000.0,8.82239e+34,7.957148,23.47257,6.692749,0.0,0.0,2.25103e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
4.0,95979.219,8.38621693,719795500.0,180000.0,3.132991e+34,7.956887,24.42658,7.352323,0.0,0.0,1.384027e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.95
5.0,95565.1028,8.07187454,948557200.0,240000.0,5.347569e+34,7.936175,23.8695,6.963514,0.0,0.0,1.782208e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.8
4.0,95166.5883,8.48661153,657885100.0,180000.0,2.529706e+34,7.970719,24.61981,7.489482,0.0,0.0,1.220105e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.0
4.0,94925.7199,8.58639625,600969400.0,180000.0,2.089644e+34,7.987508,24.8222,7.634298,0.0,0.0,1.081862e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,1.05
4.0,94257.2967,7.64700321,1394475000.0,180000.0,1.093739e+35,7.970827,23.25259,6.544951,0.0,0.0,2.187405e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
6.0,93438.1471,7.96013543,1044525000.0,300000.0,5.926064e+34,7.936185,23.68248,6.835333,0.0,0.0,1.77288e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
2.0,92964.8982,7.4586227,1664256000.0,60000.0,1.474172e+35,7.97375,23.02089,6.391056,0.0,0.0,1.578814e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
5.0,92861.6858,9.0537952,382836400.0,200000.0,7.76613e+33,8.10562,25.85337,8.386101,0.0,0.0,6.894125e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
6.0,92421.9925,9.22103034,322041900.0,250000.0,5.3921e+33,8.15523,26.24327,8.674543,0.0,0.0,5.912354e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
5.0,92289.158,8.19268251,850793200.0,240000.0,3.741819e+34,7.93058,24.05843,7.094272,0.0,0.0,1.395051e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.85
6.0,91694.9671,7.83394057,1166902000.0,300000.0,6.859352e+34,7.941758,23.48607,6.702012,0.0,0.0,1.791871e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
5.0,90725.2742,8.92001526,437561200.0,200000.0,9.243209e+33,8.061321,25.54225,8.157286,0.0,0.0,6.766421e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
5.0,90656.2849,7.68050095,1341720000.0,240000.0,8.664583e+34,7.956606,23.2701,6.556818,0.0,0.0,1.824932e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
5.0,90459.7416,8.69453661,543105100.0,200000.0,1.407411e+34,8.001615,25.03996,7.791293,0.0,0.0,7.955509e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.1
6.0,90166.9621,8.09198616,926846300.0,300000.0,4.046105e+34,7.923141,23.8768,6.96863,0.0,0.0,1.372477e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.8
1.0,90123.4993,7.32540011,1857535000.0,0.0,1.622028e+35,7.959158,22.84563,6.275984,0.0,0.0,6.420697e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.55
5.0,90062.6461,8.30067797,773104300.0,240000.0,2.802122e+34,7.934271,24.24398,7.223835,0.0,0.0,1.148588e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.9
5.0,89841.9782,8.80282787,490219700.0,200000.0,1.115657e+34,8.027035,25.27642,7.963023,0.0,0.0,7.041099e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.15
5.0,89534.7982,8.3998189,708611500.0,240000.0,2.299407e+34,7.945459,24.43045,7.355112,0.0,0.0,1.030456e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.95
7.0,89238.0361,9.22332629,321191700.0,300000.0,4.661876e+33,8.147864,26.24456,8.67552,0.0,0.0,4.903566e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
3.0,89056.0566,7.50395919,1579617000.0,120000.0,1.11838e+35,7.964133,23.04051,6.404174,0.0,0.0,1.429098e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
7.0,88826.6999,7.98156751,1019067000.0,360000.0,4.606928e+34,7.922825,23.69117,6.841366,0.0,0.0,1.401678e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
5.0,88611.4597,8.49819754,649167900.0,240000.0,1.851423e+34,7.959828,24.62294,7.491754,0.0,0.0,9.073861e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.0
5.0,88191.313,8.59645372,594050800.0,240000.0,1.521186e+34,7.977215,24.82479,7.636197,0.0,0.0,8.053423e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.05
6.0,88173.1692,9.05756741,381177400.0,250000.0,6.257949e+33,8.098054,25.85475,8.387141,0.0,0.0,5.557028e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
7.0,87802.3019,7.85751328,1135660000.0,360000.0,5.462004e+34,7.928423,23.49688,6.709431,0.0,0.0,1.45573e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
6.0,87366.5964,7.70835066,1299383000.0,300000.0,7.009515e+34,7.943753,23.28445,6.566552,0.0,0.0,1.535191e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
6.0,87162.9184,8.20789283,836024200.0,300000.0,2.874728e+34,7.919398,24.06344,7.097815,0.0,0.0,1.082705e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.85
8.0,86800.0505,9.22512439,320527500.0,350000.0,4.155684e+33,8.141164,26.24566,8.676353,0.0,0.0,4.165098e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
6.0,85879.3471,8.92449863,435308500.0,250000.0,7.34482e+33,8.054134,25.54359,8.15829,0.0,0.0,5.465553e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
4.0,85866.3025,7.53924749,1516728000.0,180000.0,8.911246e+34,7.954682,23.05721,6.415353,0.0,0.0,1.284257e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
7.0,85627.3409,8.1080498,909862800.0,360000.0,3.171273e+34,7.911993,23.88254,6.972658,0.0,0.0,1.090232e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.8
6.0,85379.0914,8.70087145,539158500.0,250000.0,1.100705e+34,7.994111,25.04157,7.792487,0.0,0.0,6.361835e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.1
6.0,85004.0372,8.31291186,762291600.0,300000.0,2.161884e+34,7.924119,24.24767,7.226469,0.0,0.0,8.956914e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.9
6.0,84909.3736,8.80809574,487255600.0,250000.0,8.793631e+33,8.0199,25.27781,7.964062,0.0,0.0,5.678016e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.15
9.0,84893.7744,9.22656645,319995800.0,400000.0,3.789866e+33,8.134991,26.24661,8.677076,0.0,0.0,3.605102e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
8.0,84817.2813,7.99914372,998652900.0,420000.0,3.677888e+34,7.911311,23.69815,6.846215,0.0,0.0,1.135668e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
7.0,84592.4423,9.06046862,379906300.0,300000.0,5.266369e+33,8.091282,25.8559,8.388005,0.0,0.0,4.611172e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
7.0,84362.1544,7.73193234,1264580000.0,360000.0,5.771853e+34,7.932138,23.29642,6.574684,0.0,0.0,1.303734e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
6.0,84325.2328,8.4103534,700069100.0,300000.0,1.76581e+34,7.935743,24.43343,7.357263,0.0,0.0,8.001271e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.95
8.0,84325.0021,7.87727013,1110120000.0,420000.0,4.440143e+34,7.916748,23.50575,6.715526,0.0,0.0,1.204257e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
6.0,83387.0902,8.50711493,642537300.0,300000.0,1.422407e+34,7.950554,24.62536,7.493513,0.0,0.0,7.047704e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.0
10.0,83382.6511,9.22774335,319562500.0,450000.0,3.5176e+33,8.129245,26.24745,8.677712,0.0,0.0,3.168271e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
5.0,83100.8618,7.56820608,1466994000.0,240000.0,7.313258e+34,7.945546,23.07156,6.42498,0.0,0.0,1.150681e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
6.0,82880.4889,8.60413545,588820200.0,300000.0,1.165753e+34,7.968408,24.8268,7.637671,0.0,0.0,6.267782e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.05
7.0,82848.8113,8.22017529,824285400.0,360000.0,2.281037e+34,7.909747,24.06742,7.100636,0.0,0.0,8.664325e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.85
11.0,82158.4753,9.22872316,319202200.0,500000.0,3.308059e+33,8.123852,26.24819,8.678278,0.0,0.0,2.81955e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
7.0,82079.4117,8.92800934,433552600.0,300000.0,6.079284e+33,8.04769,25.5447,8.159122,0.0,0.0,4.538616e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
2.0,81961.4112,7.4018042,1701120000.0,70000.0,9.305502e+34,7.951235,22.86155,6.286562,0.0,0.0,6.174797e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.55
8.0,81806.658,8.1211321,896261500.0,420000.0,2.563634e+34,7.902291,23.88717,6.97591,0.0,0.0,8.878486e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.8
8.0,81774.3369,9.06277037,378900900.0,350000.0,4.574582e+33,8.085126,25.85688,8.38874,0.0,0.0,3.913166e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
8.0,81614.5657,7.7521993,1235415000.0,420000.0,4.825345e+34,7.921625,23.30658,6.581587,0.0,0.0,1.117901e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
9.0,81308.8532,8.01378091,981965000.0,480000.0,3.003138e+34,7.90123,23.70384,6.850175,0.0,0.0,9.387618e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
7.0,81242.3773,8.70594851,536016200.0,300000.0,8.919043e+33,7.987441,25.0429,7.793474,0.0,0.0,5.232576e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.1
9.0,81203.9066,7.89403262,1088901000.0,480000.0,3.67381e+34,7.906403,23.51311,6.720592,0.0,0.0,1.011618e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
7.0,80959.6461,8.81228159,484913100.0,300000.0,7.198372e+33,8.013512,25.27897,7.964924,0.0,0.0,4.705359e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.15
7.0,80767.4294,8.32277793,753681900.0,360000.0,1.722476e+34,7.915312,24.25062,7.228577,0.0,0.0,7.200274e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.9
12.0,80764.9081,9.22988437,318775800.0,575000.0,3.081012e+33,8.116411,26.24915,8.679007,0.0,0.0,2.420526e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
6.0,80638.2602,7.59273328,1426149000.0,300000.0,6.128105e+34,7.936819,23.08409,6.433386,0.0,0.0,1.031032e+35,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
7.0,80015.2565,8.41879366,693299300.0,360000.0,1.403992e+34,7.927309,24.43582,7.358988,0.0,0.0,6.415597e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.95
9.0,79506.6446,9.06464042,378086000.0,400000.0,4.070304e+33,8.079462,25.85772,8.389376,0.0,0.0,3.380599e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
13.0,79393.1842,9.23108725,318334600.0,677041.5,2.869013e+33,8.107216,26.25024,8.679838,0.0,0.0,2.028485e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
8.0,79135.4408,8.23034471,814691000.0,420000.0,1.854821e+34,7.901282,24.07066,7.102941,0.0,0.0,7.104844e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.85
7.0,79095.6596,8.51423531,637291500.0,360000.0,1.13271e+34,7.942485,24.62731,7.494931,0.0,0.0,5.657079e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.0
9.0,79093.4467,7.76978687,1210651000.0,480000.0,4.087258e+34,7.912057,23.31525,6.587486,0.0,0.0,9.670459e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
8.0,79027.7601,8.93083392,432145000.0,350000.0,5.190505e+33,8.041832,25.54564,8.15983,0.0,0.0,3.850993e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
7.0,78558.8643,8.61023621,584699000.0,360000.0,9.278494e+33,7.960711,24.82842,7.638865,0.0,0.0,5.044118e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.05
7.0,78545.4645,7.61261799,1393871000.0,355844.0,5.269402e+34,7.929068,23.09439,6.440308,0.0,0.0,9.319109e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
9.0,78462.6394,8.13214834,884966100.0,480000.0,2.115129e+34,7.893732,23.891,6.978603,0.0,0.0,7.380068e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.8
10.0,78389.614,7.90840987,1071026000.0,540000.0,3.086497e+34,7.897144,23.51929,6.724845,0.0,0.0,8.610853e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.7
10.0,78254.9157,8.02612816,968104800.0,540000.0,2.504513e+34,7.892297,23.70858,6.853475,0.0,0.0,7.893129e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.75
14.0,78168.0685,9.23223345,317914800.0,807232.1,2.688878e+33,8.096641,26.25139,8.680715,0.0,0.0,1.679331e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
8.0,77793.3716,8.71013076,533441500.0,350000.0,7.426359e+33,7.98143,25.04403,7.794311,0.0,0.0,4.400164e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.1
8.0,77721.2597,8.81569894,483009000.0,350000.0,6.065992e+33,8.007717,25.27996,7.965658,0.0,0.0,3.983485e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.15
10.0,77669.6985,9.06617865,377417000.0,450000.0,3.693869e+33,8.074201,25.85846,8.389935,0.0,0.0,2.963178e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
3.0,77604.4709,7.44460007,1619337000.0,140000.0,6.777245e+34,7.943291,22.87473,6.29534,0.0,0.0,5.843325e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.55
8.0,77150.709,8.33094043,746632400.0,420000.0,1.407361e+34,7.907548,24.25304,7.230313,0.0,0.0,5.929414e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.9
15.0,77087.4121,9.2333302,317513600.0,975804.0,2.536826e+33,8.084414,26.25262,8.681649,0.0,0.0,1.372846e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
10.0,76770.0309,7.78518004,1189385000.0,540000.0,3.501417e+34,7.903304,23.3227,6.592557,0.0,0.0,8.433188e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.65
9.0,76534.7642,8.93315121,430993600.0,400000.0,4.541597e+33,8.036444,25.54645,8.160442,0.0,0.0,3.324317e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.2
8.0,76406.7436,7.63204585,1363040000.0,418283.0,4.512069e+34,7.920882,23.10452,6.447124,0.0,0.0,8.344356e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.6
8.0,76392.832,8.42572292,687790500.0,420000.0,1.148034e+34,7.919866,24.43778,7.360411,0.0,0.0,5.275422e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.95
11.0,76152.2858,9.06746773,376857300.0,500000.0,3.403437e+33,8.069275,25.85912,8.390432,0.0,0.0,2.628691e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.25
16.0,76142.6411,9.23439017,317126400.0,1195872.0,2.408843e+33,8.070322,26.25394,8.682659,0.0,0.0,1.109075e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,1.3
9.0,75908.7971,8.23890661,806699800.0,480000.0,1.539658e+34,7.893755,24.07337,7.104864,0.0,0.0,5.942622e+34,-3.999873,-1.999887,-0.3054398,-0.3054398,0.85
