Mod,Teff,Log(g),R,Age,L,Log(Tc),Log(Pc),Log(rhoc),Mx/M,Log(qx),Lnu,Log(H/*),Log(He/*),Log(C/*),Log(O/*),M/Msun
187.0,1606.4851,7.33245133,1242225000.0,14799610000.0,7.323845e+27,5.52678,21.7342,5.579808,0.9888931867,-1.954411,3.829428e+16,-9.99986,-1.999885,-0.305396,-0.305396,0.25
246.0,1606.7417,7.88676173,928025600.0,13726130000.0,4.090121e+27,5.208723,22.91316,6.326713,0.990764313,-2.034531,238016300000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.5
193.0,1609.549,7.4702434,1161167000.0,14840660000.0,6.448196e+27,5.448538,22.02306,5.759375,0.98939381,-1.974441,1.206165e+16,-9.99986,-1.999885,-0.305396,-0.305396,0.3
226.0,1609.6588,9.16056501,338554300.0,5273020000.0,5.483072e+26,4.436519,25.91458,8.43236,0.9999999455,-7.263972,1720561000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.25
233.0,1609.8451,8.5785925,576794800.0,10277980000.0,1.59225e+27,4.811364,24.4888,7.398284,0.999947241,-4.277703,262781300000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.95
229.0,1609.8786,8.82762731,465949100.0,8087169000.0,1.039158e+27,4.650396,25.09186,7.830333,0.9999976844,-5.635343,30619850000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.1
229.0,1609.9638,9.03260974,384363000.0,6304045000.0,7.072607e+26,4.512786,25.59746,8.199,0.9999998248,-6.756461,4820225000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.2
264.0,1612.7606,8.13137672,798406600.0,12918830000.0,3.072981e+27,5.073973,23.45366,6.684006,0.9936140015,-2.194771,19689790000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.65
255.0,1621.3063,8.2814446,721546200.0,12363680000.0,2.563424e+27,4.992623,23.79379,6.914405,0.9983992248,-2.79567,4087126000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.75
233.0,1621.5125,7.79589232,977498100.0,13991480000.0,4.707008e+27,5.267807,22.71618,6.199088,0.990328379,-2.014501,663343500000000.0,-9.99986,-1.999885,-0.305396,-0.305396,0.45
232.0,1621.6827,8.73950828,503844300.0,8882572000.0,1.251089e+27,4.716928,24.87663,7.675052,0.9999920165,-5.097807,74735640000.0,-9.99986,-1.999885,-0.305396,-0.305396,1.05
236.0,1626.4875,8.50273829,612643600.0,10826910000.0,1.871763e+27,4.867315,24.30867,7.271267,0.9998610674,-3.857196,571030400000.0,-9.99986,-1.999884,-0.305396,-0.305396,0.9
